"Story","Title","Result","Date","Stability","Duration (s)"
"Filter products story","Filter results by brand","FAILURE","2018-03-02T09:13:36.338Z[UTC]","0.0","36.34"
"Filter products story","Filter results by size","FAILURE","2018-03-02T09:14:13.515Z[UTC]","0.0","19.54"
"Filter products story","Filter results by brand and size","ERROR","2018-03-02T09:14:33.114Z[UTC]","0.0","304.69"
"Search products story","Search results should show the search term in the results text","SUCCESS","2018-03-02T09:13:36.411Z[UTC]","0.0","28.49"
"Sort results story","Order results by descendant price","SUCCESS","2018-03-02T09:13:36.466Z[UTC]","0.0","58.81"
"Sort results story","Order results by ascendant price","SUCCESS","2018-03-02T09:14:36.185Z[UTC]","0.0","30.79"
"Sort results story","Order filter results","FAILURE","2018-03-02T09:15:07.031Z[UTC]","0.0","24.5"
