"Story","Title","Result","Date","Stability","Duration (s)"
"Filter products story","Filter results by brand","ERROR","2019-07-22T11:04:04.551Z[UTC]","0.0","47.35"
"Filter products story","Filter results by size","ERROR","2019-07-22T11:04:52.745Z[UTC]","0.0","29.93"
"Filter products story","Filter results by brand and size","ERROR","2019-07-22T11:05:22.762Z[UTC]","0.0","35.55"
"Search products story","Search results should show the search term in the results text","ERROR","2019-07-22T11:04:04.564Z[UTC]","0.0","37.67"
"Sort results story","Order results by descendant price","FAILURE","2019-07-22T11:04:04.535Z[UTC]","0.0","45.1"
"Sort results story","Order results by ascendant price","FAILURE","2019-07-22T11:04:50.319Z[UTC]","0.0","31.53"
"Sort results story","Order filter results","FAILURE","2019-07-22T11:05:21.921Z[UTC]","0.0","31.26"
