"Story","Title","Result","Date","Stability","Duration (s)"
"Sort results story","Order results by descendant price","SUCCESS","2018-03-02T09:13:36.466Z[UTC]","0.0","58.81"
"Sort results story","Order results by ascendant price","SUCCESS","2018-03-02T09:14:36.185Z[UTC]","0.0","30.79"
"Sort results story","Order filter results","FAILURE","2018-03-02T09:15:07.031Z[UTC]","0.0","24.5"
