"Story","Title","Result","Date","Stability","Duration (s)"
"Filter products story","Filter results by brand","FAILURE","2018-03-02T09:30:15.392Z[UTC]","0.0","40.96"
"Filter products story","Filter results by size","FAILURE","2018-03-02T09:30:57.495Z[UTC]","0.0","18.64"
"Filter products story","Filter results by brand and size","FAILURE","2018-03-02T09:31:16.203Z[UTC]","0.0","22.28"
"Sort results story","Order filter results","FAILURE","2018-03-02T09:31:55.883Z[UTC]","0.0","25.52"
