"Story","Title","Result","Date","Stability","Duration (s)"
"Filter products story","Filter results by brand","SUCCESS","2018-03-05T16:52:35.969Z[UTC]","0.0","96.25"
"Filter products story","Filter results by size","SUCCESS","2018-03-05T16:54:12.711Z[UTC]","0.0","16.27"
"Filter products story","Filter results by brand and size","SUCCESS","2018-03-05T16:54:29.047Z[UTC]","0.0","18.26"
"Search products story","Search results should show the search term in the results text","SUCCESS","2018-03-05T16:52:36.132Z[UTC]","0.0","25.89"
"Sort results story","Order results by descendant price","SUCCESS","2018-03-05T16:52:35.777Z[UTC]","0.0","90.54"
"Sort results story","Order results by ascendant price","SUCCESS","2018-03-05T16:54:06.823Z[UTC]","0.0","41.63"
"Sort results story","Order filter results","SUCCESS","2018-03-05T16:54:48.52Z[UTC]","0.0","39.65"
